Year,Lg,Tm,City,W,L,T,Div. Finish,Playoffs,PF,PA,PD,Coaches,AV,Passer,Rusher,Receiver,Pts,Yds,Pts,Yds,T/G,Pts±,Yds±,out of,MoV,SoS,SRS,OSRS,DSRS
2003,NFL,Philadelphia Eagles*,Philadelphia,12,4,0,1st of 4,Lost Conf,374,287,87,Reid,McNabb,McNabb,Westbrook,Pinkston,11,18,7,20,8,8,20,32,5.4,-1,4.4,2.9,1.5
2002,NFL,Philadelphia Eagles*,Philadelphia,12,4,0,1st of 4,Lost Conf,415,241,174,Reid,Douglas,McNabb,Staley,Pinkston,4,10,2,4,4,1,6,32,10.9,-2.6,8.3,4.5,3.8
2001,NFL,Philadelphia Eagles*,Philadelphia,11,5,0,1st of 5,Lost Conf,343,208,135,Reid,Trotter,McNabb,Staley,Thrash,9,17,2,7,7,3,11,31,8.4,-0.7,7.7,0.9,6.8
2000,NFL,Philadelphia Eagles*,Philadelphia,11,5,0,2nd of 5,Lost Div,351,245,106,Reid,Douglas,McNabb,McNabb,Lewis,12,17,4,10,13,6,17,31,6.6,-3.6,3.1,1,2.1
1999,NFL,Philadelphia Eagles,Philadelphia,5,11,0,5th of 5,,272,357,-85,Reid,Staley,Pederson,Staley,Small,25,30,22,24,8,25,30,31,-5.3,1.1,-4.2,-3.3,-0.9
1998,NFL,Philadelphia Eagles,Philadelphia,3,13,0,5th of 5,,161,344,-183,Rhodes,Zordich,Detmer,Staley,Graham,30,30,19,17,26,29,27,30,-11.4,-1.3,-12.8,-12.3,-0.5
1997,NFL,Philadelphia Eagles,Philadelphia,6,9,1,3rd of 5,,317,372,-55,Rhodes,Fryar,Hoying,Watters,Fryar,19,5,24,13,24,22,7,30,-3.4,0.5,-3,-0.7,-2.3
1996,NFL,Philadelphia Eagles*,Philadelphia,10,6,0,2nd of 5,Lost WC,363,341,22,Rhodes,Watters,Detmer,Watters,Fryar,9,4,21,5,17,12,3,30,1.4,-0.8,0.6,2.1,-1.6
1995,NFL,Philadelphia Eagles*,Philadelphia,10,6,0,2nd of 5,Lost Div,318,338,-20,Rhodes,Thomas,Peete,Watters,Williams,21,25,15,4,11,18,13,30,-1.3,-0.5,-1.7,-1.9,0.2
1994,NFL,Philadelphia Eagles,Philadelphia,7,9,0,4th of 5,,308,308,0,Kotite,Fuller,Cunningham,Walker,Barnett,17,14,11,4,6,12,9,28,0,0.6,0.6,-0.4,1
1993,NFL,Philadelphia Eagles,Philadelphia,8,8,0,3rd of 5,,293,315,-22,Kotite,Allen,Brister,Walker,Williams,17,15,19,17,13,19,18,28,-1.4,1.8,0.4,0.7,-0.3
1992,NFL,Philadelphia Eagles*,Philadelphia,11,5,0,2nd of 5,Lost Div,354,245,109,Kotite,Simmons,Cunningham,Walker,Barnett,5,7,6,6,5,5,8,28,6.8,2.1,8.9,4.8,4.1
1991,NFL,Philadelphia Eagles,Philadelphia,10,6,0,3rd of 5,,285,244,41,Kotite,White,McMahon,Joseph,Barnett,18,25,5,1,8,9,6,28,2.6,2.1,4.7,-0.3,5
1990,NFL,Philadelphia Eagles*,Philadelphia,10,6,0,2nd of 5,Lost WC,396,299,97,Ryan,Cunningham,Cunningham,Cunningham,Byars,3,3,12,12,8,6,3,28,6.1,-0.5,5.6,4.5,1.1
1989,NFL,Philadelphia Eagles*,Philadelphia,11,5,0,2nd of 5,Lost WC,342,274,68,Ryan,Allen,Cunningham,Cunningham,Byars,13,12,5,8,1,11,10,28,4.3,0.8,5.1,1.9,3.2
1988,NFL,Philadelphia Eagles*,Philadelphia,10,6,0,1st of 5,Lost Div,379,319,60,Ryan,White,Cunningham,Cunningham,Jackson,5,10,14,27,2,7,19,28,3.8,-0.3,3.4,2.3,1.1
1987,NFL,Philadelphia Eagles,Philadelphia,7,8,0,4th of 5,,337,380,-43,Ryan,White,Cunningham,Cunningham,Quick,12,10,25,23,2,20,17,28,-2.9,0.8,-2,1.3,-3.3
1986,NFL,Philadelphia Eagles,Philadelphia,5,10,1,4th of 5,,256,312,-56,Ryan,White,Jaworski,Byars,Quick,24,25,12,17,7,22,25,28,-3.5,2,-1.5,-2.9,1.4
1985,NFL,Philadelphia Eagles,Philadelphia,7,9,0,4th of 5,,286,310,-24,"Campbell,Bruney",Hopkins,Jaworski,Jackson,Quick,24,15,10,10,24,19,13,28,-1.5,-1.9,-3.4,-4.8,1.3
1984,NFL,Philadelphia Eagles,Philadelphia,6,9,1,5th of 5,,278,320,-42,Campbell,Ellis,Jaworski,Montgomery,Quick,23,26,14,12,15,19,23,28,-2.6,0.2,-2.4,-4.3,1.9
1983,NFL,Philadelphia Eagles,Philadelphia,5,11,0,4th of 5,,233,322,-89,Campbell,Quick,Jaworski,Oliver,Quick,28,27,8,18,23,24,25,28,-5.6,2.4,-3.1,-6.7,3.6
1982,NFL,Philadelphia Eagles,Philadelphia,3,6,0,5th of 5,,191,195,-4,Vermeil,Jaworski,Jaworski,Montgomery,Carmichael,11,18,19,20,7,13,21,28,-0.4,1.1,0.7,2.7,-2
1981,NFL,Philadelphia Eagles*,Philadelphia,10,6,0,2nd of 5,Lost WC,368,221,147,Vermeil,Johnson,Jaworski,Montgomery,Carmichael,5,12,1,1,7,1,1,28,9.2,-0.5,8.7,2,6.7
1980,NFL,Philadelphia Eagles*,Philadelphia,12,4,0,1st of 5,Lost SB,384,222,162,Vermeil,Johnson,Jaworski,Montgomery,Smith,6,8,1,2,8,1,3,28,10.1,-0.4,9.7,2.9,6.8
1979,NFL,Philadelphia Eagles*,Philadelphia,11,5,0,2nd of 5,Lost Div,339,282,57,Vermeil,Montgomery,Jaworski,Montgomery,Carmichael,12,15,9,9,9,6,9,28,3.6,-0.9,2.7,0.3,2.4
1978,NFL,Philadelphia Eagles*,Philadelphia,9,7,0,2nd of 5,Lost WC,270,250,20,Vermeil,Bergey,Jaworski,Montgomery,Carmichael,18,18,5,11,2,9,11,28,1.3,1.1,2.3,-1.1,3.4
1977,NFL,Philadelphia Eagles,Philadelphia,5,9,0,4th of 5,,220,207,13,Vermeil,Bergey,Jaworski,Hogan,Carmichael,19,23,7,10,15,12,19,28,0.9,-1.5,-0.6,-2.5,1.9
1976,NFL,Philadelphia Eagles,Philadelphia,4,10,0,4th of 5,,165,286,-121,Vermeil,Bergey,Boryla,Hogan,Carmichael,27,23,19,21,22,24,24,28,-8.6,0,-8.7,-7.3,-1.4
1975,NFL,Philadelphia Eagles,Philadelphia,4,10,0,5th of 5,,225,302,-77,McCormack,Bergey,Gabriel,Sullivan,Young,21,17,16,20,6,19,17,26,-5.5,0.9,-4.6,-4,-0.6
1974,NFL,Philadelphia Eagles,Philadelphia,7,7,0,4th of 5,,242,217,25,McCormack,Bergey,Gabriel,Sullivan,Young,16,22,7,18,7,10,21,26,1.8,1.1,2.9,0,3
1973,NFL,Philadelphia Eagles,Philadelphia,5,8,1,3rd of 5,,310,393,-83,McCormack,Gabriel,Gabriel,Sullivan,Carmichael,8,2,25,25,11,20,17,26,-5.9,1.7,-4.2,3.5,-7.7
1972,NFL,Philadelphia Eagles,Philadelphia,2,11,1,5th of 5,,145,352,-207,Khayat,Bradley,Reaves,James,Jackson,26,24,22,24,22,24,23,26,-14.8,0.2,-14.6,-9.2,-5.3
1971,NFL,Philadelphia Eagles,Philadelphia,6,7,1,3rd of 5,,221,302,-81,"Khayat,Williams",Bradley,Liske,Bull,Jackson,22,20,20,26,5,20,23,26,-5.8,1.5,-4.3,-2.7,-1.6
1970,NFL,Philadelphia Eagles,Philadelphia,3,10,1,5th of 5,,241,332,-91,Williams,Snead,Snead,Pinder,Jackson,19,12,22,12,23,21,13,26,-6.5,2,-4.5,-0.9,-3.6
1969,NFL,Philadelphia Eagles,Philadelphia,4,9,1,4th of 4,,279,377,-98,Williams,Jackson,Snead,Woodeshick,Jackson,8,7,13,14,12,14,14,16,-7,-1.3,-8.3,-2.4,-5.9
1968,NFL,Philadelphia Eagles,Philadelphia,2,12,0,4th of 4,,202,351,-149,Kuharich,Woodeshick,Snead,Woodeshick,Hawkins,15,15,13,13,16,14,14,16,-10.6,-0.1,-10.8,-6.6,-4.2
1967,NFL,Philadelphia Eagles,Philadelphia,6,7,1,2nd of 4,,351,409,-58,Kuharich,Hawkins,Snead,Woodeshick,Hawkins,4,8,15,14,10,12,14,16,-4.1,-1.2,-5.3,2.2,-7.5
1966,NFL,Philadelphia Eagles,Philadelphia,9,5,0,2nd of 8,,326,340,-14,Kuharich,Brown,Snead,Brown,Retzlaff,5,11,11,11,9,10,12,15,-1,-2,-3,-0.8,-2.2
1965,NFL,Philadelphia Eagles,Philadelphia,5,9,0,5th of 7,,363,359,4,Kuharich,Brown,Snead,Brown,Retzlaff,5,2,11,10,8,7,3,14,0.3,-6.3,-6,1,-7
1964,NFL,Philadelphia Eagles,Philadelphia,6,8,0,3rd of 7,,312,313,-1,Kuharich,Baughan,Snead,Gros,Retzlaff,6,4,8,9,11,8,4,14,-0.1,-3.5,-3.6,-1.5,-2
1963,NFL,Philadelphia Eagles,Philadelphia,2,10,2,7th of 7,,242,381,-139,Skorich,Brown,Jurgensen,Brown,Retzlaff,12,12,11,10,13,12,11,14,-9.9,1.6,-8.4,-4.6,-3.8
1962,NFL,Philadelphia Eagles,Philadelphia,3,10,1,7th of 7,,282,356,-74,Skorich,Brown,Jurgensen,Brown,McDonald,11,7,9,11,11,11,10,14,-5.3,-2.4,-7.7,-4.4,-3.3
1961,NFL,Philadelphia Eagles,Philadelphia,10,4,0,2nd of 7,,361,297,64,Skorich,Jurgensen,Jurgensen,Peaks,McDonald,3,1,8,13,12,4,7,14,4.6,-2.6,1.9,3.8,-1.8
1960,NFL,Philadelphia Eagles*,Philadelphia,10,2,0,1st of 6,Won Champ,321,246,75,Shaw,Van Brocklin,Van Brocklin,Peaks,Retzlaff,3,6,7,9,2,3,8,13,6.3,0.4,6.7,5.6,1.1
1959,NFL,Philadelphia Eagles,Philadelphia,7,5,0,2nd of 6,,268,278,-10,Shaw,,Van Brocklin,Barnes,McDonald,4,5,9,9,2,8,7,12,-0.8,-1.8,-2.6,0.4,-3
1958,NFL,Philadelphia Eagles,Philadelphia,2,9,1,5th of 6,,235,306,-71,Shaw,,Van Brocklin,Barnes,Retzlaff,10,7,9,9,11,10,8,12,-5.9,-1.8,-7.7,-3.3,-4.5
1957,NFL,Philadelphia Eagles,Philadelphia,4,8,0,5th of 6,,173,230,-57,Devore,,Thomason,Barnes,Walston,11,12,5,8,9,10,11,12,-4.8,0.6,-4.2,-5,0.9
1956,NFL,Philadelphia Eagles,Philadelphia,3,8,1,6th of 6,,143,215,-72,Devore,,Thomason,Keller,Walston,12,12,5,5,11,11,11,12,-6,-0.5,-6.5,-7.7,1.2
1955,NFL,Philadelphia Eagles,Philadelphia,4,7,1,4th of 6,,248,231,17,Trimble,,Burk,Giancanelli,Pihos,6,5,4,4,10,6,3,12,1.4,3.2,4.6,1.3,3.3
1954,NFL,Philadelphia Eagles,Philadelphia,7,4,1,2nd of 6,,284,230,54,Trimble,,Burk,Parmer,Pihos,7,7,4,2,7,5,2,12,4.5,-2.9,1.6,0.5,1.2
1953,NFL,Philadelphia Eagles,Philadelphia,7,4,1,2nd of 6,,352,215,137,Trimble,,Thomason,Johnson,Pihos,3,1,3,1,9,2,1,12,11.4,-1,10.4,8,2.3
1952,NFL,Philadelphia Eagles,Philadelphia,7,5,0,2nd of 6,,252,271,-19,Trimble,,Thomason,Huzvar,Grant,7,8,7,2,7,8,6,12,-1.6,-0.8,-2.4,-1.3,-1.1
1951,NFL,Philadelphia Eagles,Philadelphia,4,8,0,5th of 6,,234,264,-30,"Millner,McMillin",,Burk,Ziegler,Pihos,9,10,7,3,11,7,8,12,-2.5,1,-1.5,-0.4,-1.2
1950,NFL,Philadelphia Eagles,Philadelphia,6,6,0,3rd of 6,,254,141,113,Neale,,Thompson,Ziegler,Ferrante,7,5,1,3,4,4,2,13,9.4,3.6,13,0.3,12.8
1949,NFL,Philadelphia Eagles*,Philadelphia,11,1,0,1st of 5,Won Champ,364,134,230,Neale,,Thompson,Van Buren,Ferrante,1,2,1,1,1,1,1,10,19.2,-2.1,17.1,6.1,11
1948,NFL,Philadelphia Eagles*,Philadelphia,9,2,1,1st of 5,Won Champ,376,156,220,Neale,,Thompson,Van Buren,Pihos,2,2,2,2,4,2,1,10,18.3,-2.9,15.5,5.9,9.6
1947,NFL,Philadelphia Eagles*,Philadelphia,8,4,0,1st of 5,Lost Champ,308,242,66,Neale,,Thompson,Van Buren,Pihos,2,6,5,4,4,3,6,10,5.5,-3,2.5,2.5,0
1946,NFL,Philadelphia Eagles,Philadelphia,6,5,0,2nd of 5,,231,220,11,Neale,,Thompson,Van Buren,Ferrante,5,6,7,2,5,6,4,10,1,0.5,1.5,3.7,-2.1
1945,NFL,Philadelphia Eagles,Philadelphia,7,3,0,2nd of 5,,272,133,139,Neale,,Zimmerman,Van Buren,Ferrante,1,4,2,1,3,1,3,10,13.9,-3.8,10.1,8.3,1.9
1944,NFL,Philadelphia Eagles,Philadelphia,7,1,2,2nd of 5,,267,131,136,Neale,,Zimmerman,Van Buren,Bleeker,1,5,2,1,4,1,2,11,13.6,-2,11.6,9.5,2.1
1943,NFL,Phi/Pit Eagles/Steelers,Philadelphia,5,4,1,3rd of 5,,225,230,-5,"Neale,Kiesling",,Zimmerman,Hinkle,Bova,4,4,6,1,4,5,3,10,-0.5,-1,-1.5,3.7,-5.2
1942,NFL,Philadelphia Eagles,Philadelphia,2,9,0,5th of 5,,134,239,-105,Neale,,Thompson,Davis,Meyer,7,5,9,6,5,8,5,10,-9.5,3.7,-5.8,-1.7,-4.2
1941,NFL,Philadelphia Eagles,Philadelphia,2,8,1,4th of 5,,119,218,-99,Neale,,Thompson,Castiglia,Humbert,8,8,8,8,8,8,7,10,-9,-0.9,-9.9,-6,-3.8
1940,NFL,Philadelphia Eagles,Philadelphia,1,10,0,5th of 5,,111,211,-100,Bell,,O'Brien,Riffle,Looney,9,9,9,7,8,9,9,10,-9.1,0.5,-8.6,-4,-4.6
1939,NFL,Philadelphia Eagles,Philadelphia,1,9,1,4th of 5,,105,200,-95,Bell,,O'Brien,Smukler,Ramsey,9,9,7,7,7,7,8,10,-8.6,1,-7.6,-5.6,-2
1938,NFL,Philadelphia Eagles,Philadelphia,5,6,0,4th of 5,,154,164,-10,Bell,,Smukler,Smukler,Carter,4,10,7,10,5,6,10,10,-0.9,-0.7,-1.6,1.2,-2.7
1937,NFL,Philadelphia Eagles,Philadelphia,2,8,1,5th of 5,,86,177,-91,Bell,,Smukler,Mortell,Carter,8,10,9,10,7,8,10,10,-8.3,-1.5,-9.8,-5.7,-4
1936,NFL,Philadelphia Eagles,Philadelphia,1,11,0,5th of 5,,51,206,-155,Bell,,Smukler,Hanson,Manske,9,8,9,7,9,9,7,9,-12.9,-0.9,-13.8,-7.7,-6.1
1935,NFL,Philadelphia Eagles,Philadelphia,2,9,0,5th of 5,,60,179,-119,Wray,,Storm,Hanson,Carter,9,7,8,7,4,9,7,9,-10.8,-0.2,-11,-5.8,-5.3
1934,NFL,Philadelphia Eagles,Philadelphia,4,7,0,3rd of 5,,127,85,42,Wray,,Matesic,Hanson,Carter,4,4,4,7,6,3,4,11,3.8,-4.2,-0.4,-1.2,0.8
1933,NFL,Philadelphia Eagles,Philadelphia,3,5,1,4th of 5,,77,158,-81,Wray,,Kirkman,Hanson,Hanson,7,7,9,10,9,9,7,10,-9,-0.3,-9.3,-1.5,-7.7
2018,NFL,Pittsburgh Steelers,Pittsburgh,9,6,1,2nd of 4,,428,360,68,Tomlin,Roethlisberger,Roethlisberger,Conner,Smith-Schuster,6,4,16,6,28,11,2,32,4.3,1.3,5.6,3.9,1.7
2017,NFL,Pittsburgh Steelers*,Pittsburgh,13,3,0,1st of 4,Lost Div,406,308,98,Tomlin,Heyward,Roethlisberger,Bell,Brown,8,3,7,5,14,7,3,32,6.1,-1.1,5,3.2,1.8
2016,NFL,Pittsburgh Steelers*,Pittsburgh,11,5,0,1st of 4,Lost Conf,399,327,72,Tomlin,Bell,Roethlisberger,Bell,Brown,10,7,10,12,9,5,7,32,4.5,0.2,4.7,2.8,2
2015,NFL,Pittsburgh Steelers*,Pittsburgh,10,6,0,2nd of 4,Lost Div,423,319,104,Tomlin,Brown,Roethlisberger,Williams,Brown,4,3,11,21,15,7,9,32,6.5,2.2,8.7,5.1,3.6
2014,NFL,Pittsburgh Steelers*,Pittsburgh,11,5,0,1st of 4,Lost WC,436,368,68,Tomlin,Bell,Roethlisberger,Bell,Brown,7,2,18,18,16,10,4,32,4.3,-2,2.2,4.4,-2.1
2013,NFL,Pittsburgh Steelers,Pittsburgh,8,8,0,2nd of 4,,379,370,9,Tomlin,Brown,Roethlisberger,Bell,Brown,16,20,14,13,20,14,17,32,0.6,-2.5,-2,-0.9,-1
2012,NFL,Pittsburgh Steelers,Pittsburgh,8,8,0,3rd of 4,,336,314,22,Tomlin,Pouncey,Roethlisberger,Dwyer,Wallace,22,21,6,1,24,14,4,32,1.4,-2,-0.7,-2.8,2.1
2011,NFL,Pittsburgh Steelers*,Pittsburgh,12,4,0,2nd of 4,Lost WC,325,227,98,Tomlin,Polamalu,Roethlisberger,Mendenhall,Wallace,21,12,1,1,28,7,1,32,6.1,-0.8,5.3,-0.8,6
2010,NFL,Pittsburgh Steelers*,Pittsburgh,12,4,0,1st of 4,Lost SB,375,232,143,Tomlin,Harrison,Roethlisberger,Mendenhall,Wallace,12,14,1,2,2,3,2,32,8.9,1.3,10.2,2.5,7.7
2009,NFL,Pittsburgh Steelers,Pittsburgh,9,7,0,3rd of 4,,368,324,44,Tomlin,Roethlisberger,Roethlisberger,Mendenhall,Holmes,12,7,12,5,20,14,6,32,2.8,-1.1,1.7,1,0.7
2008,NFL,Pittsburgh Steelers*,Pittsburgh,12,4,0,1st of 4,Won SB,347,223,124,Tomlin,Harrison,Roethlisberger,Parker,Ward,20,22,1,1,11,5,2,32,7.8,2,9.8,1.6,8.2
2007,NFL,Pittsburgh Steelers*,Pittsburgh,10,6,0,1st of 4,Lost WC,393,269,124,Tomlin,Faneca,Roethlisberger,Parker,Holmes,9,17,2,1,12,6,3,32,7.8,-2.5,5.2,0.9,4.3
2006,NFL,Pittsburgh Steelers,Pittsburgh,8,8,0,3rd of 4,,353,315,38,Cowher,Faneca,Roethlisberger,Parker,Ward,12,7,11,9,27,11,3,32,2.4,1,3.4,3,0.4
2005,NFL,Pittsburgh Steelers*,Pittsburgh,11,5,0,2nd of 4,Won SB,389,258,131,Cowher,Faneca,Roethlisberger,Parker,Ward,9,15,3,4,9,5,7,32,8.2,-0.4,7.8,3.8,4
2004,NFL,Pittsburgh Steelers*,Pittsburgh,15,1,0,1st of 4,Lost Conf,372,251,121,Cowher,Farrior,Roethlisberger,Bettis,Ward,11,16,1,1,5,5,2,32,7.6,1.4,9,3.4,5.6
2003,NFL,Pittsburgh Steelers,Pittsburgh,6,10,0,3rd of 4,,300,327,-27,Cowher,Faneca,Maddox,Bettis,Ward,19,22,15,9,21,19,18,32,-1.7,0.6,-1.1,-2.5,1.4
2002,NFL,Pittsburgh Steelers*,Pittsburgh,10,5,1,1st of 4,Lost Div,390,345,45,Cowher,Porter,Maddox,Zereoue,Ward,8,5,16,7,15,9,3,32,2.8,-0.1,2.7,3.1,-0.4
2001,NFL,Pittsburgh Steelers*,Pittsburgh,13,3,0,1st of 6,Lost Conf,352,212,140,Cowher,Gildon,Stewart,Bettis,Burress,7,3,3,1,9,2,2,31,8.8,-1.4,7.4,1.5,5.8
2000,NFL,Pittsburgh Steelers,Pittsburgh,9,7,0,3rd of 6,,321,255,66,Cowher,Gildon,Stewart,Bettis,Shaw,17,18,6,7,6,11,18,31,4.1,-0.2,3.9,0.6,3.3
1999,NFL,Pittsburgh Steelers,Pittsburgh,6,10,0,4th of 6,,317,320,-3,Cowher,Scott,Tomczak,Bettis,Edwards,17,22,12,11,12,19,18,31,-0.2,-2.2,-2.4,-2.2,-0.2
1998,NFL,Pittsburgh Steelers,Pittsburgh,7,9,0,3rd of 5,,263,303,-40,Cowher,Dawson,Stewart,Bettis,Johnson,28,25,7,12,19,17,21,30,-2.5,-1.3,-3.8,-5.1,1.3
1997,NFL,Pittsburgh Steelers*,Pittsburgh,11,5,0,1st of 5,Lost Conf,372,307,65,Cowher,Dawson,Stewart,Bettis,Thigpen,7,6,11,6,14,8,5,30,4.1,1.3,5.3,2.7,2.6
1996,NFL,Pittsburgh Steelers*,Pittsburgh,10,6,0,1st of 5,Lost Div,344,257,87,Cowher,Brown,Tomczak,Bettis,Johnson,11,15,4,2,7,6,5,30,5.4,-0.3,5.2,0,5.1
1995,NFL,Pittsburgh Steelers*,Pittsburgh,11,5,0,1st of 5,Lost SB,407,327,80,Cowher,Lloyd,O'Donnell,Pegram,Thigpen,5,6,9,3,14,6,2,30,5,-0.4,4.6,3.4,1.2
1994,NFL,Pittsburgh Steelers*,Pittsburgh,12,4,0,1st of 4,Lost Conf,316,234,82,Cowher,Lloyd,O'Donnell,Foster,Green,16,13,2,2,1,5,5,28,5.1,-0.4,4.7,-0.2,5
1993,NFL,Pittsburgh Steelers*,Pittsburgh,9,7,0,2nd of 4,Lost WC,308,281,27,Cowher,Lloyd,O'Donnell,Thompson,Green,13,7,8,3,3,11,4,28,1.7,-0.2,1.5,0.1,1.5
1992,NFL,Pittsburgh Steelers*,Pittsburgh,11,5,0,1st of 4,Lost Div,299,225,74,Cowher,Woodson,O'Donnell,Foster,Graham,15,9,2,13,2,9,11,28,4.6,-1,3.6,-0.4,4
1991,NFL,Pittsburgh Steelers,Pittsburgh,7,9,0,2nd of 4,,292,344,-52,Noll,Lloyd,O'Donnell,Hoge,Lipps,17,20,22,22,11,21,22,28,-3.3,0.3,-2.9,-0.8,-2.2
1990,NFL,Pittsburgh Steelers,Pittsburgh,9,7,0,3rd of 4,,292,240,52,Noll,Woodson,Brister,Hoge,Lipps,20,22,3,1,5,11,10,28,3.3,-1.6,1.6,-3.4,5
1989,NFL,Pittsburgh Steelers*,Pittsburgh,9,7,0,3rd of 4,Lost Div,265,326,-61,Noll,Woodson,Brister,Worley,Lipps,24,28,15,19,3,21,28,28,-3.8,0.1,-3.7,-4.3,0.6
1988,NFL,Pittsburgh Steelers,Pittsburgh,5,11,0,4th of 4,,336,421,-85,Noll,Ilkin,Brister,Hoge,Lipps,13,15,28,28,22,24,24,28,-5.3,0,-5.3,0.1,-5.5
1987,NFL,Pittsburgh Steelers,Pittsburgh,8,7,0,3rd of 4,,285,299,-14,Noll,Merriweather,Malone,Jackson,Stallworth,20,25,10,13,4,16,24,28,-0.9,1.6,0.7,-2.2,2.9
1986,NFL,Pittsburgh Steelers,Pittsburgh,6,10,0,3rd of 4,,307,336,-29,Noll,Merriweather,Malone,Jackson,Lipps,18,20,17,18,16,19,21,28,-1.8,0.9,-1,-1.3,0.3
1985,NFL,Pittsburgh Steelers,Pittsburgh,7,9,0,3rd of 4,,379,355,24,Noll,Lipps,Malone,Pollard,Lipps,9,13,15,6,16,12,8,28,1.5,-2,-0.5,0.6,-1.1
1984,NFL,Pittsburgh Steelers*,Pittsburgh,9,7,0,1st of 4,Lost Conf,387,310,77,Noll,Stallworth,Malone,Pollard,Stallworth,8,8,11,5,11,9,6,28,4.8,-1.6,3.3,2.4,0.9
1983,NFL,Pittsburgh Steelers*,Pittsburgh,10,6,0,1st of 4,Lost Div,355,303,52,Noll,Lambert,Stoudt,Harris,Sweeney,14,22,7,3,12,7,9,28,3.3,-3.3,-0.1,-1.2,1.1
1982,NFL,Pittsburgh Steelers*,Pittsburgh,6,3,0,2nd of 4,Lost WC,204,146,58,Noll,Lambert,Bradshaw,Harris,Stallworth,8,8,4,17,14,7,12,28,6.4,-1.3,5.2,3.4,1.8
1981,NFL,Pittsburgh Steelers,Pittsburgh,8,8,0,2nd of 4,,356,297,59,Noll,Blount,Bradshaw,Harris,Stallworth,8,11,11,22,9,10,15,28,3.7,-1,2.7,1.2,1.5
1980,NFL,Pittsburgh Steelers,Pittsburgh,9,7,0,3rd of 4,,352,313,39,Noll,Webster,Bradshaw,Harris,Bell,10,6,15,12,14,13,8,28,2.4,-0.2,2.3,2.4,-0.1
1979,NFL,Pittsburgh Steelers*,Pittsburgh,12,4,0,1st of 4,Won SB,416,262,154,Noll,Webster,Bradshaw,Harris,Stallworth,1,1,5,2,24,2,1,28,9.6,2.3,11.9,6.8,5.1
1978,NFL,Pittsburgh Steelers*,Pittsburgh,14,2,0,1st of 4,Won SB,356,195,161,Noll,Bradshaw,Bradshaw,Harris,Swann,5,8,1,3,5,2,5,28,10.1,-1.9,8.2,2.6,5.6
1977,NFL,Pittsburgh Steelers*,Pittsburgh,9,5,0,1st of 4,Lost Div,283,243,40,Noll,Bradshaw,Bradshaw,Harris,Swann,7,4,17,7,17,10,3,28,2.9,3.4,6.2,3.9,2.3
1976,NFL,Pittsburgh Steelers*,Pittsburgh,10,4,0,1st of 4,Lost Conf,342,138,204,Noll,Lambert,Bradshaw,Harris,Swann,5,9,1,1,2,1,1,28,14.6,0.8,15.3,5.7,9.6
1975,NFL,Pittsburgh Steelers*,Pittsburgh,12,2,0,1st of 4,Won SB,373,162,211,Noll,Blount,Bradshaw,Harris,Swann,5,7,2,4,11,1,5,26,15.1,-0.9,14.2,5.4,8.8
1974,NFL,Pittsburgh Steelers*,Pittsburgh,10,3,1,1st of 4,Won SB,305,189,116,Noll,Ham,Gilliam,Harris,Lewis,6,8,2,1,5,3,2,26,8.3,-1.5,6.8,2.3,4.5
1973,NFL,Pittsburgh Steelers*,Pittsburgh,10,4,0,2nd of 4,Lost Div,347,210,137,Noll,Greene,Bradshaw,Harris,Shanklin,4,11,8,4,2,4,6,26,9.8,-1.6,8.2,4.5,3.8
1972,NFL,Pittsburgh Steelers*,Pittsburgh,11,3,0,1st of 4,Lost Conf,343,175,168,Noll,Greene,Bradshaw,Harris,Shanklin,5,13,2,8,1,2,8,26,12,-2,10,3.4,6.6
1971,NFL,Pittsburgh Steelers,Pittsburgh,6,8,0,2nd of 4,,246,292,-46,Noll,Bradshaw,Bradshaw,Fuqua,Smith,17,17,17,18,19,16,20,26,-3.3,-0.3,-3.6,-1.8,-1.8
1970,NFL,Pittsburgh Steelers,Pittsburgh,5,9,0,3rd of 4,,210,272,-62,Noll,Russell,Bradshaw,Fuqua,Shanklin,21,20,16,14,22,20,19,26,-4.4,-3,-7.4,-5.9,-1.5
1969,NFL,Pittsburgh Steelers,Pittsburgh,1,13,0,4th of 4,,218,404,-186,Noll,Jefferson,Shiner,Hoak,Jefferson,15,14,16,10,10,16,15,16,-13.3,-0.7,-14,-6,-7.9
1968,NFL,Pittsburgh Steelers,Pittsburgh,2,11,1,4th of 4,,244,397,-153,Austin,Jefferson,Shiner,Hoak,Jefferson,13,6,16,15,15,15,13,16,-10.9,0.9,-10,-3.1,-6.9
1967,NFL,Pittsburgh Steelers,Pittsburgh,4,9,1,4th of 4,,281,320,-39,Austin,Woodson,Nix,Shy,Wilburn,10,11,9,8,12,11,9,16,-2.8,-0.6,-3.4,-2.7,-0.7
1966,NFL,Pittsburgh Steelers,Pittsburgh,5,8,1,6th of 8,,316,347,-31,Austin,Jefferson,Smith,Asbury,Jefferson,7,15,12,10,7,11,13,15,-2.2,-2.3,-4.5,-1.2,-3.3
1965,NFL,Pittsburgh Steelers,Pittsburgh,2,12,0,7th of 7,,202,397,-195,Nixon,Ballman,Nelsen,Hoak,Ballman,14,13,12,11,14,14,14,14,-13.9,-4.4,-18.3,-10.8,-7.5
